scenario_id,annual_load_kwh,peak_load_kw,mean_load_kw,std_load_kw,load_factor,peak_to_average_ratio,daytime_load_share,nighttime_load_share,seasonal_load_variability,monthly_max_load_kwh,monthly_min_load_kwh,pv_capacity_kwp,wind_capacity_kw,annual_pv_kwh,annual_wind_kwh,total_renewable_kwh,pv_capacity_factor,wind_capacity_factor,renewable_to_load_ratio,monthly_renewable_variability,daily_renewable_variability,max_positive_net_load_kw,mean_positive_net_load_kw,std_net_load_kw,total_deficit_energy_kwh,total_surplus_energy_kwh,max_consecutive_deficit_hours,max_cumulative_deficit_event_kwh,n_deficit_hours,n_surplus_hours,net_load_q10_kw,net_load_q50_kw,net_load_q90_kw,worst_monthly_renewable_to_load_ratio,reliability_target_load_served,round_trip_efficiency,usable_soc_window_fraction,optimal_capacity_kwh,optimal_n_modules,weather_year,timezone,random_seed
1,28015.437515822683,7.006534162446823,3.1981093054592105,1.285373580948688,0.45644668695119384,2.1908363640000004,0.6008350504119225,0.3991649495880775,0.11340619708291647,2675.105830955109,1993.9642395775534,33.58192915830861,7.562272653510917,43142.145448539486,5689.415801096002,48831.56124963549,0.14665335112961866,0.08588379702513112,1.7430233321202349,0.10418591998287946,0.3778432771759642,6.787567086564766,2.5460254504854323,7.489932386266334,13112.031069999977,33928.15480381278,43,122.37796653955579,5150,3610,-15.180545222155065,1.0602091650313379,4.346251222536963,1.3368575183477525,0.9983408848996376,0.9379478608072598,0.864552322654166,322.56,21.0,2023,Asia/Shanghai,4200127
6,10294.490790040218,2.622676332086586,1.1751701815114404,0.47285178532138405,0.44808052260740916,2.231741728430721,0.601667323644757,0.39833267635524305,0.11164071735465929,981.529922885332,733.487959624958,14.192574508279296,8.998164049502167,18232.964248092598,6769.697294678177,25002.661542770773,0.14665335112961866,0.08588379702513112,2.4287419409768685,0.1606594203242846,0.44653500631883286,2.548924027044819,0.9223256118799509,3.5861543919217977,3964.155479860028,18672.32623259058,37,35.272661264266674,4298,4462,-7.380353319316946,-0.05529775055808511,1.505721285585242,2.004529190725254,0.9959836577093284,0.9434648840763702,0.8561458062043936,61.44,4.0,2023,Asia/Shanghai,4200132
7,15591.879925106294,4.031468710300416,1.7798949686194399,0.7188046743875619,0.4415003802638483,2.265003711666981,0.6013486650964325,0.3986513349035677,0.11380115285083205,1491.138795067119,1108.6025435140634,23.7674732661502,16.374823919057874,30533.677316713456,12319.468791170864,42853.14610788432,0.14665335112961866,0.08588379702513112,2.7484271501399586,0.16830632912402774,0.4594681554868278,3.9738378187553325,1.389229310478297,6.116958965384255,5744.463198827758,33005.729381605786,36,49.860792988876106,4135,4625,-12.727187565667371,-0.3196861426687657,2.246748381009447,2.2428168965603046,0.9960156266561142,0.922398658552882,0.8130472212962377,76.8,5.0,2023,Asia/Shanghai,4200133
8,32143.176026319838,8.181619668937845,3.669312331771671,1.472491734319002,0.44848238860362827,2.229741959575154,0.6021630442559838,0.39783695574401623,0.11251366133037341,3062.572330765442,2296.0371663492933,32.94996572248077,17.694366400011816,42330.27254099695,13312.216102109373,55642.48864310632,0.14665335112961866,0.0858837970251311,1.731082472918809,0.146785920526744,0.4245907195673106,7.958322488641256,2.8504748061424556,8.084090568256281,13853.307557852335,37352.620174638825,40,125.10510383862623,4860,3900,-15.76593807223445,0.8065811661277723,4.886066916629507,1.4036890712293826,0.9927355508825636,0.8827736051111146,0.7873434778464725,245.76,16.0,2023,Asia/Shanghai,4200134
11,25240.8490438593,6.226819403982823,2.881375461627774,1.1596511314225433,0.462736314431213,2.1610579693300744,0.6017136563229326,0.39828634367706756,0.11194921566038184,2407.03758290751,1802.103098358337,30.88961125233208,13.923125511480611,39683.36944595212,10474.952955958808,50158.32240191093,0.14665335112961864,0.0858837970251311,1.9871883990413413,0.1342359422171297,0.4068239711839584,6.195733801197226,2.254243333019294,7.350538587636491,10651.299748516165,35568.773106567794,38,97.37727982695475,4725,4035,-14.940817514665556,0.5057641794242579,3.8224991727720052,1.592446439482896,0.99567254333807,0.9125631349498052,0.7175299838632202,168.95999999999998,11.0,2023,Asia/Shanghai,4200137
13,20889.662473806355,5.257577939789176,2.3846646659596296,0.9604055670368326,0.45356715454707125,2.204745184863733,0.6016146333669459,0.3983853666330542,0.11276019202492003,1996.4579182474165,1488.577679952389,31.50670567476987,13.987230042875773,40476.14037947387,10523.181491288351,50999.32187076222,0.14665335112961866,0.0858837970251311,2.4413664861608226,0.1332488296128147,0.40552753788361934,5.022231515917826,1.8723045780508045,7.462962382342835,8356.095331840741,38465.75472879661,38,75.37758380783575,4463,4297,-15.779444015356972,0.13446426165225672,3.0902779397728897,1.9532047284562113,0.9981234215688946,0.921019866085025,0.7404726729590461,168.95999999999998,11.0,2023,Asia/Shanghai,4200139
14,17070.91131756927,4.32450363245168,1.948734168672291,0.7853088000603621,0.4506260912925861,2.2191347090701683,0.6009247995599665,0.39907520044003375,0.11494782789601463,1634.190007617924,1213.788836097769,19.178698724519577,16.58439137883792,24638.555039123778,12477.135205977345,37115.69024510113,0.14665335112961864,0.08588379702513112,2.1742067283134383,0.19143484501167313,0.5014393197566507,4.1672135233793846,1.514860495725798,5.280453717289228,6600.247179877302,26645.026107409154,37,63.803461114063765,4357,4403,-10.167165294845143,-0.02182546683907033,2.492464801240357,1.7566281402323176,0.9968266757685168,0.9447516660355842,0.7864186079550207,122.88,8.0,2023,Asia/Shanghai,4200140
15,14136.118708902064,3.516844577433424,1.613712181381514,0.6502804868843629,0.45885228813813356,2.1793505793719796,0.600998800885944,0.399001199114056,0.11432734038469165,1357.838880020036,1003.3188028696052,19.89583636998356,7.890483777320938,25559.849836137415,5936.342834734927,31496.19267087234,0.14665335112961866,0.08588379702513113,2.228065094773006,0.12641652115088656,0.3970291711705876,3.442633323885934,1.2686901210885164,4.6492435547178275,5872.766570518743,23232.84053248902,38,52.900133583797135,4629,4131,-9.74667602842664,0.2186139425197933,2.129667228404251,1.7669940654493654,0.991535336716832,0.9632608106539118,0.816212227940079,61.44,4.0,2023,Asia/Shanghai,4200141
16,10912.154841187901,2.824285579480164,1.245679776391313,0.5003157867625496,0.44106013408905764,2.267264535402519,0.6014262300272885,0.39857376997271154,0.11328752214270511,1042.9806014840146,776.7514358736564,20.406094136045112,16.818309829628333,26215.36949541309,12653.121895570848,38868.49139098394,0.14665335112961866,0.0858837970251311,3.5619446348282113,0.18628969007899618,0.49177728036631396,2.663413238025999,0.9655083858593881,5.509482662764168,3632.2425476030185,31588.579097399055,20,23.49773127962481,3762,4998,-11.466116051133787,-0.6877475721795183,1.498192246475344,2.8737820699239247,0.994340730932486,0.9504461704525258,0.7165459999844876,46.08,3.0,2023,Asia/Shanghai,4200142
18,10864.483195213215,2.6826233832411375,1.2402378076727414,0.4991004018446499,0.4623227454963469,2.1629911349622355,0.6024149451984058,0.39758505480159423,0.11295780655478829,1040.2047009379498,772.6415100673033,25.620172074146133,13.778229206100931,32913.80863883319,10365.941370801951,43279.750009635136,0.14665335112961866,0.0858837970251311,3.9835995170671135,0.14689909314836636,0.4247607494236589,2.6019595119189445,0.9662185091263358,6.243665193314968,3689.02226784435,36104.289082266274,21,23.30645703489221,3818,4942,-13.901134138331575,-0.6065852675359835,1.5198285069596584,3.22851647600483,0.998065446946558,0.892622418009875,0.8108072287078099,46.08,3.0,2023,Asia/Shanghai,4200144
