scenario_id,annual_load_kwh,peak_load_kw,mean_load_kw,std_load_kw,load_factor,peak_to_average_ratio,daytime_load_share,nighttime_load_share,seasonal_load_variability,monthly_max_load_kwh,monthly_min_load_kwh,pv_capacity_kwp,wind_capacity_kw,annual_pv_kwh,annual_wind_kwh,total_renewable_kwh,pv_capacity_factor,wind_capacity_factor,renewable_to_load_ratio,monthly_renewable_variability,daily_renewable_variability,max_positive_net_load_kw,mean_positive_net_load_kw,std_net_load_kw,total_deficit_energy_kwh,total_surplus_energy_kwh,max_consecutive_deficit_hours,max_cumulative_deficit_event_kwh,n_deficit_hours,n_surplus_hours,net_load_q10_kw,net_load_q50_kw,net_load_q90_kw,worst_monthly_renewable_to_load_ratio,reliability_target_load_served,round_trip_efficiency,usable_soc_window_fraction,optimal_capacity_kwh
0,1239020.0296803294,310.59519150821353,141.44064265757186,56.8803804321853,0.4553858093254851,2.1959401885649323,0.6020505247792773,0.3979494752207226,0.11295229084945028,118328.00113400228,88452.88403533222,919.2574508279296,559.834764455195,1180954.74686153,741235.2262507636,1922189.9731122935,0.14665335112961866,0.15114440685005628,1.5513792570473812,0.19765537008557016,0.48775063198224106,300.00817966702834,106.92359219492047,261.24642663539913,504893.2023444145,1188063.1457763787,41,4910.58919103568,4722,4038,-471.5503598934181,21.337315667523672,182.37287996120088,1.240668339547798,0.9959836577093284,0.9434648840763702,0.8561458062043936,2000.0
1,2136895.7495779283,534.4279582479867,243.9378709563845,98.04270735367646,0.4564466869511939,2.1908363640000004,0.6008350504119224,0.3991649495880775,0.11340619708291645,204045.44018313324,152090.9215127257,1417.8698724519577,1242.5952240954127,1821513.825964648,1645227.1465613777,3466740.972526026,0.14665335112961866,0.15114440685005626,1.622325737327506,0.2387944730552936,0.564600668545858,519.6492240669038,182.63911598681264,468.1721364056457,835208.6774076942,2165053.900355792,42,8816.87466128413,4573,4187,-811.2963841561772,18.336024476271078,308.2824721655531,1.1835944734880188,0.9968266757685168,0.9447516660355842,0.7864186079550207,3750.0
2,1748035.7289295236,435.80283250786977,199.54745764035658,80.65909588731222,0.4578847193168556,2.1839558251517044,0.6012563704732238,0.3987436295267762,0.11429609744200851,167126.11731766447,124716.50429625897,1489.5836369983558,460.1435399588844,1913643.3056660115,609241.5523376238,2522884.8580036354,0.14665335112961864,0.15114440685005628,1.4432684734359635,0.1371918549117006,0.396489646311242,435.80283250786977,152.58058917756478,360.1206239024658,776787.7795029823,1551636.908577094,41,7290.286157428342,5091,3669,-673.3882834777824,54.37016942815835,267.49153124698216,1.1766753236682688,0.991535336716832,0.9632608106539118,0.816212227940079,3250.0
3,1320860.516457397,332.1963156253043,150.78316397915492,60.63124349642274,0.4538977613142118,2.2031393085187476,0.6010808212567873,0.39891917874321264,0.11280747312022846,125863.33146862176,94004.96203378658,1540.6094136045112,1263.6478846665502,1979195.2715935796,1673101.3955584257,3652296.6671520052,0.14665335112961866,0.15114440685005628,2.7650888353810568,0.23104564231285837,0.5495474519670752,319.0574920278763,112.28153362733511,487.4428822972889,421055.75110250665,2752491.9017971144,32,4241.833609061448,3750,5010,-971.422049288419,-63.039577940255754,176.52512446534791,2.0558898678562336,0.994340730932486,0.9504461704525258,0.7165459999844876,2250.0
4,1314544.023365751,331.14585288310286,150.06210312394415,60.3325068857079,0.45316014625409573,2.2067253889517473,0.6015207459852536,0.3984792540147466,0.11298765236468619,125589.24238929314,93479.34858861718,2062.017207414613,990.040628549084,2649039.1859355886,1310838.5471812917,3959877.73311688,0.14665335112961864,0.15114440685005626,3.012358401644117,0.17352902116207117,0.44722728048653043,331.14585288310286,112.74053646723094,538.4678054233032,433825.58432590467,3079159.294077034,20,2877.9116242957957,3848,4912,-1139.4392083071261,-62.46490386056469,179.1031832365224,2.4813446170625943,0.998065446946558,0.892622418009875,0.8108072287078099,2250.0
5,2690539.054346745,694.9739246258513,307.13916145510785,123.56465874608793,0.4419434320797869,2.262733027378634,0.6012923210906175,0.3987076789093825,0.11305471914147382,258264.46083347336,191807.167527956,825.7272234063307,1410.032167471661,1060798.020419885,1866917.84618595,2927715.866605835,0.1466533511296187,0.15114440685005628,1.088152153701659,0.31744033819469875,0.727085793803738,677.0210530729905,228.58628743693893,420.6092597440267,1214707.5314398934,1451884.3436989835,110,28945.98834495139,5314,3446,-586.9578505893921,91.38134366912053,395.4380458772605,0.6496207671727168,0.996542951528582,0.9491782742725892,0.7215481891911792,3750.0
6,1398286.5477337528,356.2345247580766,159.621752024401,64.22680868552183,0.44808052260740916,2.231741728430721,0.601667323644757,0.39833267635524294,0.11164071735465926,133319.8615998126,99628.66233855262,3248.035535412824,614.3851836107855,4172697.1917018523,813461.3451918003,4986158.536893653,0.14665335112961864,0.15114440685005628,3.5659061048501663,0.11138604655324727,0.37344360110563213,344.2590423310837,123.21052417903809,733.2767869681461,505409.57018241426,4093281.5593423136,20,2989.4475932950368,4102,4658,-1655.680113884133,-31.62975704060147,198.27759372909213,2.818552294157927,0.993338300554762,0.9546810768819172,0.8616502944128603,2250.0
7,2741864.542142628,708.9421649362033,312.9982354044096,126.40329831274003,0.4415003802638483,2.265003711666981,0.6013486650964324,0.39865133490356774,0.11380115285083205,262219.8611871329,194950.06503326565,1451.416678468146,1915.218911125541,1864610.8492970988,2535797.726476305,4400408.575773404,0.14665335112961864,0.15114440685005628,1.6048964156101992,0.28749543046313175,0.6635329219947774,687.4159541546857,233.52791382344643,605.3945611384011,1057414.3937925654,2715958.427423341,44,12890.715931663737,4528,4232,-1004.4082151595734,19.699478392234937,388.4945756583009,1.0441520555488673,0.9923036858151084,0.9642439213044068,0.7329215635164036,4500.0
8,2241103.728287238,570.4432669774396,255.83375893689933,102.66585706876968,0.4484823886036282,2.2297419595751546,0.6021630442559838,0.3978369557440163,0.11251366133037342,213530.30773958637,160085.53260505563,2298.1483745625305,1774.211673507436,2952392.9661786873,2349100.6181240496,5301493.584302736,0.14665335112961866,0.15114440685005628,2.3655726048675128,0.22403949588720615,0.5361429384936404,550.6526220398629,190.1925749801532,708.833033500247,763813.3811202953,3824203.237135794,32,7623.610716744264,4016,4744,-1388.5218642613947,-56.61431253345762,307.270519685938,1.7860037050218058,0.9969966435441706,0.967464378345487,0.8001482372404685,3750.0
9,2258810.9537983052,591.4796746161732,257.8551317121353,103.97972919806887,0.4359492688898639,2.293844883709703,0.6011522405480002,0.3988477594519996,0.11388743653392908,216046.11947882932,160551.30267455714,2582.7873069286597,1246.0098965976242,3318063.865029307,1649748.2583347992,4967812.123364106,0.1466533511296187,0.15114440685005626,2.1993040696967037,0.17398529557643466,0.44795237481114536,591.4796746161732,195.0690385884187,677.5869699403901,833139.8638111363,3542141.0333769373,38,7839.050136314549,4271,4489,-1354.5854028718772,-18.155867964550527,324.1082454466864,1.8120545374296269,0.9964386641665424,0.9465085603523988,0.7262115503114626,4250.0
